timestamp,open,high,low,close,volume,Stock Code,{
2022-12-30,2.88,2.91,2.745,2.76,8046363.0,MIN,
2022-11-30,2.76,2.9,2.76,2.89,4370852.0,MIN,
2022-10-31,2.8,2.83,2.66,2.75,4429026.0,MIN,
2022-09-30,2.9,2.93,2.74,2.81,4817678.0,MIN,
2022-08-31,2.96,3.04,2.89,2.92,5285801.0,MIN,
2022-07-29,2.96,3.02,2.89,2.98,15412252.0,MIN,
2022-06-30,3.02,3.02,2.835,2.97,10485002.0,MIN,
2022-05-31,3.0,3.06,2.95,3.02,11157813.0,MIN,
2022-04-29,3.13,3.16,3.0,3.0,6594871.0,MIN,
2022-03-31,3.21,3.28,3.09,3.15,9194383.0,MIN,
2022-02-28,3.38,3.44,3.1,3.23,7202821.0,MIN,
2022-01-31,3.59,3.5972,3.3101,3.39,9219117.0,MIN,
2021-12-31,3.61,3.635,3.53,3.59,8120236.0,MIN,
2021-11-30,3.63,3.67,3.55,3.6,8036696.0,MIN,
2021-10-29,3.62,3.68,3.57,3.63,7052606.0,MIN,
2021-09-30,3.68,3.7,3.59,3.62,8870579.0,MIN,
2021-08-31,3.71,3.74,3.67,3.68,7664577.0,MIN,
2021-07-30,3.72,3.74,3.68,3.71,6512070.0,MIN,
2021-06-30,3.7,3.74,3.66,3.74,8914005.0,MIN,
2021-05-28,3.72,3.74,3.66,3.7,8919324.0,MIN,
2021-04-30,3.73,3.74,3.64,3.72,9166593.0,MIN,
2021-03-31,3.79,3.81,3.6,3.72,13909475.0,MIN,
2021-02-26,3.79,3.82,3.74,3.77,9005357.0,MIN,
2021-01-29,3.8,3.84,3.73,3.78,6974176.0,MIN,
2020-12-31,3.79,3.84,3.73,3.81,7603515.0,MIN,
2020-11-30,3.73,3.82,3.71,3.78,6964887.0,MIN,
2020-10-30,3.75,3.84,3.69,3.73,5966980.0,MIN,
2020-09-30,3.85,3.88,3.73,3.73,8595898.0,MIN,
2020-08-31,3.87,3.95,3.81,3.83,6319677.0,MIN,
2020-07-31,3.71,3.88,3.71,3.86,9858559.0,MIN,
2020-06-30,3.77,3.89,3.7,3.7,12553838.0,MIN,
2020-05-29,3.75,3.85,3.7,3.77,5901557.0,MIN,
2020-04-30,3.59,3.8,3.55,3.74,7935733.0,MIN,
2020-03-31,3.71,3.845,3.23,3.6,14529001.0,MIN,
2020-02-28,3.84,3.87,3.68,3.7,10336437.0,MIN,
2020-01-31,3.78,3.85,3.77,3.84,16726402.0,MIN,
2019-12-31,3.79,3.81,3.75,3.8,7112839.0,MIN,
2019-11-29,3.76,3.81,3.74,3.77,7623077.0,MIN,
2019-10-31,3.81,3.84,3.72,3.77,9020709.0,MIN,
2019-09-30,3.82,3.86,3.77,3.82,4178337.0,MIN,
2019-08-30,3.83,3.89,3.78,3.81,5656867.0,MIN,
2019-07-31,3.85,3.88,3.77,3.83,5272628.0,MIN,
2019-06-28,3.76,3.87,3.75,3.86,3859785.0,MIN,
2019-05-31,3.74,3.79,3.73,3.76,5909500.0,MIN,
2019-04-30,3.79,3.8,3.67,3.75,4981122.0,MIN,
2019-03-29,3.75,3.82,3.69,3.8,5054739.0,MIN,
2019-02-28,3.79,3.82,3.68,3.74,9316842.0,MIN,
2019-01-31,3.66,3.8,3.64,3.78,6903135.0,MIN,
2018-12-31,3.66,3.73,3.63,3.67,5686967.0,MIN,
2018-11-30,3.68,3.75,3.62,3.64,5740115.0,MIN,
2018-10-31,3.76,3.81,3.64,3.69,6512998.0,MIN,
2018-09-28,3.81,3.82,3.72,3.76,3747217.0,MIN,
2018-08-31,3.81,3.83,3.76,3.81,4881647.0,MIN,
2018-07-31,3.85,3.89,3.77,3.81,5603220.0,MIN,
2018-06-29,3.9,3.93,3.79,3.86,5799248.0,MIN,
2018-05-31,3.91,3.93,3.82,3.89,4067152.0,MIN,
2018-04-30,3.91,3.99,3.85,3.91,4335955.0,MIN,
2018-03-29,3.92,3.99,3.89,3.93,3914458.0,MIN,
2018-02-28,3.98,4.02,3.9,3.93,5790491.0,MIN,
2018-01-31,4.16,4.17,3.96,3.98,7022774.0,MIN,
2017-12-29,4.13,4.18,4.09,4.15,6825024.0,MIN,
2017-11-30,4.22,4.24,4.1,4.13,6021809.0,MIN,
2017-10-31,4.28,4.29,4.18,4.24,7022090.0,MIN,
2017-09-29,4.29,4.31,4.24,4.28,5516744.0,MIN,
2017-08-31,4.31,4.35,4.26,4.29,5491425.0,MIN,
2017-07-31,4.33,4.35,4.29,4.3,4819669.0,MIN,
2017-06-30,4.31,4.35,4.27,4.32,4639114.0,MIN,
2017-05-31,4.37,4.38,4.28,4.3,5673401.0,MIN,
2017-04-28,4.3,4.37,4.29,4.365,4107156.0,MIN,
2017-03-31,4.35,4.39,4.21,4.31,7630316.0,MIN,
2017-02-28,4.41,4.42,4.32,4.37,5182431.0,MIN,
2017-01-31,4.44,4.44,4.31,4.41,4833337.0,MIN,
2016-12-30,4.33,4.4401,4.28,4.44,8944957.0,MIN,
2016-11-30,4.45,4.46,4.32,4.325,5516688.0,MIN,
2016-10-31,4.53,4.56,4.39,4.45,6717923.0,MIN,
2016-09-30,4.62,4.65,4.51,4.53,6778332.0,MIN,
2016-08-31,4.59,4.69,4.58,4.63,6246808.0,MIN,
2016-07-29,4.64,4.66,4.53,4.6,4904757.0,MIN,
2016-06-30,4.58,4.66,4.55,4.64,5961686.0,MIN,
2016-05-31,4.63,4.69,4.54,4.58,5362939.0,MIN,
2016-04-29,4.62,4.67,4.56,4.64,4196509.0,MIN,
2016-03-31,4.55,4.64,4.53,4.61,5956429.0,MIN,
2016-02-29,4.55,4.6,4.49,4.55,4140660.0,MIN,
2016-01-29,4.56,4.63,4.41,4.55,6267557.0,MIN,
2015-12-31,4.52,4.64,4.47,4.57,7026225.0,MIN,
2015-11-30,4.56,4.58,4.47,4.52,6202980.0,MIN,
2015-10-30,4.54,4.6,4.49,4.56,5147153.0,MIN,
2015-09-30,4.53,4.6,4.48,4.55,5665777.0,MIN,
2015-08-31,4.59,4.63,4.23,4.54,6454677.0,MIN,
2015-07-31,4.65,4.68,4.54,4.59,6788562.0,MIN,
2015-06-30,4.8,4.82,4.47,4.62,8495915.0,MIN,
2015-05-29,4.86,4.88,4.75,4.82,7317350.0,MIN,
2015-04-30,4.86,4.91,4.81,4.86,7124373.0,MIN,
2015-03-31,4.9,4.93,4.82,4.87,7366564.0,MIN,
2015-02-27,4.94,4.95,4.85,4.91,4980046.0,MIN,
2015-01-30,4.85,5.01,4.85,4.95,9748325.0,MIN,
2014-12-31,5.0,5.02,4.78,4.78,15226820.0,MIN,
2014-11-28,5.03,5.07,4.92,4.99,5812589.0,MIN,
2014-10-31,5.01,5.05,4.92,5.05,7678867.0,MIN,
2014-09-30,5.15,5.2,4.94,5.01,7862800.0,MIN,
2014-08-29,5.19,5.25,5.07,5.18,6185845.0,MIN,
2014-07-31,5.29,5.4,5.2,5.22,6520152.0,MIN,
2014-06-30,5.41,5.42,5.26,5.28,7054200.0,MIN,
2014-05-30,5.32,5.43,5.28,5.42,8668300.0,MIN,
2014-04-30,5.18,5.32,5.18,5.32,7399500.0,MIN,
2014-03-31,5.27,5.33,5.16,5.18,7695300.0,MIN,
2014-02-28,5.27,5.32,5.18,5.28,7789500.0,MIN,
2014-01-31,5.18,5.34,5.17,5.29,9428400.0,MIN,
2013-12-31,5.19,5.26,5.065,5.18,13129900.0,MIN,
2013-11-29,5.28,5.3,5.16,5.2,8575121.0,MIN,
2013-10-31,5.28,5.39,5.15,5.28,9802300.0,MIN,
2013-09-30,5.21,5.32,5.13,5.31,10962200.0,MIN,
2013-08-30,5.4,5.45,5.14,5.2,9332438.0,MIN,
2013-07-31,5.67,5.67,5.31,5.4,9789708.0,MIN,
2013-06-28,5.66,5.76,5.35,5.75,14081600.0,MIN,
2013-05-31,6.48,6.51,5.55,5.7,14478200.0,MIN,
2013-04-30,6.49,6.56,6.37,6.47,5732300.0,MIN,
2013-03-28,6.48,6.55,6.3,6.46,5589000.0,MIN,
2013-02-28,6.37,6.5958,6.34,6.51,6334200.0,MIN,
2013-01-31,6.44,6.58,6.26,6.37,6571200.0,MIN,
2012-12-31,6.55,6.76,6.36,6.44,6027500.0,MIN,
2012-11-30,6.64,6.69,6.06,6.57,6289000.0,MIN,
2012-10-31,6.38,6.8,6.35,6.53,5600980.0,MIN,
2012-09-28,6.6,6.63,6.41,6.42,5262900.0,MIN,
2012-08-31,6.59,6.65,6.39,6.59,5770900.0,MIN,
2012-07-31,6.55,6.68,6.41,6.56,4447400.0,MIN,
2012-06-29,6.43,6.52,6.19,6.51,5119900.0,MIN,
2012-05-31,6.48,6.55,6.27,6.47,4121000.0,MIN,
2012-04-30,6.42,6.53,6.27,6.44,5563800.0,MIN,
2012-03-30,6.62,6.69,6.38,6.38,6202600.0,MIN,
2012-02-29,6.43,6.66,6.3,6.6,6084356.0,MIN,
2012-01-31,6.35,6.49,6.23,6.38,5582477.0,MIN,
2011-12-30,6.33,6.4,6.14,6.3,4858400.0,MIN,
2011-11-30,6.19,6.43,6.08,6.37,4883100.0,MIN,
2011-10-31,6.0,6.33,5.9,6.29,5478684.0,MIN,
2011-09-30,6.42,6.46,6.0,6.0,5832400.0,MIN,
2011-08-31,6.26,6.51,5.92,6.43,7515500.0,MIN,
2011-07-29,6.31,6.55,6.09,6.2,6179015.0,MIN,
2011-06-30,6.46,6.63,6.26,6.32,7557200.0,MIN,
2011-05-31,6.2,6.47,6.13,6.45,8674200.0,MIN,
2011-04-29,6.09,6.21,6.04,6.21,7844800.0,MIN,
2011-03-31,6.15,6.17,5.99,6.12,10664246.0,MIN,
2011-02-28,6.28,6.33,6.03,6.15,9983700.0,MIN,
2011-01-31,6.3,6.46,6.06,6.3,9916100.0,MIN,
2010-12-31,6.8,6.83,6.11,6.31,11569600.0,MIN,
2010-11-30,6.96,7.04,6.15,6.79,9206000.0,MIN,
2010-10-29,6.9,7.02,6.84,6.95,5681825.0,MIN,
2010-09-30,7.03,7.0901,6.62,6.89,9863300.0,MIN,
2010-08-31,6.94,7.08,6.91,7.03,8437800.0,MIN,
2010-07-30,6.82,6.97,6.75,6.92,7160400.0,MIN,
2010-06-30,6.55,6.82,6.55,6.8,7589600.0,MIN,
2010-05-28,6.65,6.71,5.89,6.62,9725700.0,MIN,
2010-04-30,6.83,6.83,6.42,6.62,11731300.0,MIN,
2010-03-31,6.88,6.93,6.8,6.82,9138000.0,MIN,
2010-02-26,6.75,6.9,6.7,6.85,9502800.0,MIN,
2010-01-29,6.71,6.8,6.65,6.76,8643900.0,MIN,
2009-12-31,6.79,6.85,6.53,6.7,9568400.0,MIN,
2009-11-30,6.69,6.95,6.63,6.78,9833700.0,MIN,
2009-10-30,6.86,6.86,6.18,6.64,12848500.0,MIN,
2009-09-30,6.62,6.89,6.62,6.86,10204200.0,MIN,
2009-08-31,6.61,6.65,6.46,6.62,7494000.0,MIN,
2009-07-31,6.64,6.64,6.5,6.6,7639600.0,MIN,
2009-06-30,6.39,6.6,6.38,6.6,7918100.0,MIN,
2009-05-29,6.41,6.54,6.36,6.39,7126600.0,MIN,
2009-04-30,6.25,6.45,6.22,6.41,8075900.0,MIN,
2009-03-31,6.13,6.36,5.9702,6.29,8291200.0,MIN,
2009-02-27,6.29,6.49,5.95,6.25,9808300.0,MIN,
2009-01-30,6.27,6.4,6.11,6.301,8317800.0,MIN,
2008-12-31,5.76,6.3,5.76,6.25,8067100.0,MIN,
2008-11-28,5.94,5.96,5.49,5.81,6380000.0,MIN,
2008-10-31,5.86,6.16,5.0,5.92,7855400.0,MIN,
2008-09-30,6.22,6.58,5.51,5.91,10714700.0,MIN,
2008-08-29,6.19,6.31,6.15,6.21,7191500.0,MIN,
2008-07-31,6.26,6.31,6.1,6.18,6179100.0,MIN,
2008-06-30,6.37,6.4,6.11,6.24,5266100.0,MIN,
2008-05-30,6.33,6.4,6.26,6.39,6408900.0,MIN,
2008-04-30,6.39,6.44,6.24,6.33,7417500.0,MIN,
2008-03-31,6.38,6.41,5.95,6.36,7716300.0,MIN,
2008-02-29,6.36,6.53,6.23,6.37,6633500.0,MIN,
2008-01-31,6.1,6.41,6.08,6.37,8455100.0,MIN,
2007-12-31,6.16,6.27,6.01,6.08,4890100.0,MIN,
2007-11-30,6.22,6.24,6.0,6.18,5581000.0,MIN,
2007-10-31,6.13,6.26,6.04,6.24,4854600.0,MIN,
2007-09-28,6.09,6.14,6.07,6.13,5390300.0,MIN,
2007-08-31,6.07,6.14,5.97,6.09,5466400.0,MIN,
2007-07-31,6.05,6.16,6.01,6.08,5933800.0,MIN,
2007-06-29,6.15,6.15,5.98,6.05,5884300.0,MIN,
2007-05-31,6.18,6.24,6.06,6.1404,8131500.0,MIN,
2007-04-30,6.23,6.24,6.17,6.19,5198200.0,MIN,
2007-03-30,6.18,6.24,6.17,6.24,8007300.0,MIN,
2007-02-28,6.19,6.22,6.11,6.18,5080100.0,MIN,
2007-01-31,6.14,6.23,6.1399,6.2,5479900.0,MIN,
2006-12-29,6.17,6.22,6.13,6.14,5157000.0,MIN,
2006-11-30,6.13,6.22,6.1,6.17,4800000.0,MIN,
